Codigo_Partido;Denominacion;Lista_Interna;Agrupacion
3538;DE ACCION CHUBUTENSE                                                                                ;LISTA FEDERAL Y POPULAR ROJA                                                                        ;0157
3539;ALIANZA FRENTE UNION CHUBUT SOMOS TODOS                                                             ;LISTA A POR SIEMPRE CHUBUT                                                                          ;0531
3540;ALIANZA CAMBIEMOS CHUBUT                                                                            ;LISTA G FRACH                                                                                       ;0530
3541;    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   ;LISTA A PARTICIPACION PARA LA TRANSPARENCIA                                                         ;0038
3542;MOVIMIENTO POLO SOCIAL LA TERCERA POSICION DE LA GENTE                                              ;LISTA MS IGUALDAD Y DECENCIA                                                                        ;0152
3550;MOVIMIENTO LIBRES DEL SUR                                                                           ;LISTA CREO                                                                                          ;0040
3551;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;MOVIMIENTO NACIONAL ALFONSINISTA                                                                    ;0131
3552;ALIANZA COMPROMISO FEDERAL                                                                          ;LISTA A.CELESTE UNIDAD                                                                              ;0133
3553;ALIANZA CAMBIEMOS                                                                                   ;LISTA A EL CAMINO DEL CAMBIO                                                                        ;0135
3554;ALIANZA CAMBIEMOS                                                                                   ;LISTA C                                                                                             ;0135
3555;ALIANZA CAMBIEMOS                                                                                   ;LISTA 9                                                                                             ;0135
3556;ALIANZA CAMBIEMOS                                                                                   ;LISTA 30                                                                                            ;0135
3557;ALIANZA CAMBIEMOS                                                                                   ;LISTA 77                                                                                            ;0135
3558;DE LOS TRABAJADORES SOCIALISTAS                                                                     ;LISTA 1A                                                                                            ;0198
3559;MOVIPRO                                                                                             ;LISTA VECINALISTAS DE PIE                                                                           ;0641
3560;PARTIDO UNION VECINAL PROV.                                                                         ;LISTA A                                                                                             ;0665
3561;FRENTE MXC                                                                                          ;LISTA UNICA                                                                                         ;0803
3562;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA CANPO                                                                                         ;0131
3563;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA C DESCAMISADOS SL                                                                             ;0131
3564;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA CONFLUENCIA NARANJA                                                                           ;0131
3565;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA MAS SAN LUIS                                                                                  ;0131
3566;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA NUEVO ENCUENTRO                                                                               ;0131
3567;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA CALEUCHE K                                                                                    ;0131
3568;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA OLA NARANJA                                                                                   ;0131
3569;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA NESTOR KIRCHNER                                                                               ;0131
3570;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA OKTUBRE K                                                                                     ;0131
3571;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA CELESTE Y BLANCA                                                                              ;0131
3572;ALIANZA CAMBIEMOS                                                                                   ;LISTA 22                                                                                            ;0135
3573;ALIANZA CAMBIEMOS                                                                                   ;LISTA 38                                                                                            ;0135
3574;ALIANZA CAMBIEMOS                                                                                   ;LISTA 402                                                                                           ;0135
3575;PROCLAME                                                                                            ;LISTA A                                                                                             ;0647
3576;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA KOLINA                                                                                        ;0131
3577;ALIANZA CAMBIEMOS                                                                                   ;LISTA 12                                                                                            ;0135
3578;ALIANZA CAMBIEMOS                                                                                   ;LISTA 31                                                                                            ;0135
3579;ALIANZA CAMBIEMOS                                                                                   ;LISTA 32                                                                                            ;0135
3580;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA CONCERTACION POPULAR                                                                          ;0131
3581;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA UNIDOS POR AYACUCHO                                                                           ;0131
3582;ALIANZA CAMBIEMOS                                                                                   ;LISTA 97                                                                                            ;0135
3583;ALIANZA CAMBIEMOS                                                                                   ;LISTA 201                                                                                           ;0135
3600;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LO MEJOR ESTA POR VENIR                                                                             ;0501
3601;ALIANZA COMPROMISO CON SAN JUAN                                                                     ;EQUIPO CON FUTURO VERDE Y BLANCO                                                                    ;0518
3602;ALIANZA COMPROMISO CON SAN JUAN                                                                     ;UNION Y LIBERTAD                                                                                    ;0518
3603;ALIANZA CAMBIEMOS                                                                                   ;AMARILLA: EL EQUIPO DEL CAMBIO                                                                      ;0502
3604;ALIANZA CAMBIEMOS                                                                                   ;CELESTE RENOVACION                                                                                  ;0502
3605;ALIANZA CAMBIEMOS                                                                                   ;RENOVACION Y FUTURO                                                                                 ;0502
3606;CRUZADA RENOVADORA                                                                                  ;UNIDAD BLANCA                                                                                       ;0153
3607;ALIANZA FRENTE PROGRESISTA POPULAR                                                                  ;AHORA EL PUEBLO                                                                                     ;0526
3608;ALIANZA FRENTE PROGRESISTA POPULAR                                                                  ;PARTICIPACION                                                                                       ;0526
3609;NUEVA IZQUIERDA                                                                                     ;IZQUIERDA TRICOLOR                                                                                  ;0068
3610;IZQUIERDA POR UNA OPCION SOCIALISTA                                                                 ;HACIA EL FRENTE DE IZQ Y DE LOS TRAB                                                                ;0061
3611;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;PODEMOS SAN JUAN                                                                                    ;0501
3612;ALIANZA COMPROMISO CON SAN JUAN                                                                     ;LISTA A                                                                                             ;0518
3613;JUNTOS POR SAN JUAN                                                                                 ;AMARILLA: EL EQUIPO DEL CAMBIO                                                                      ;0821
3620;    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   ;LISTA A TRICOLOR                                                                                    ;0038
3621;SOCIALISTA                                                                                          ;LISTA A ALFREDO BRAVO                                                                               ;0050
3622;SOCIALISTA                                                                                          ;LISTA B CARLOS GARCIA                                                                               ;0050
3623;OBRERO                                                                                              ;LISTA UNIDAD ROJO 1 A                                                                               ;0161
3624;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA A CELESTE Y BLANCA K NESTOR KIRCHNER                                                          ;0501
3625;ALIANZA CAMBIEMOS RIO NEGRO                                                                         ;LISTA A AMARILLO, BLANCO Y ROJO                                                                     ;0523
3631;DEL OBRERO                                                                                          ;LISTA UNIDAD - 2 U                                                                                  ;0071
3632;DEL OBRERO                                                                                          ;LISTA UNIDAD - 2 U                                                                                  ;0071
3633;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ;LISTA UNIDAD - 2 U                                                                                  ;0504
3634;ALIANZA CAMBIEMOS                                                                                   ;LISTA FUTURO                                                                                        ;0135
3635;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ;UNA NUEVA ARGENTINA FEDERAL (UNA FEDERAL)                                                           ;0138
3636;ALIANZA PROGRESISTAS                                                                                ;LISTA A                                                                                             ;0132
3637;MOVIMIENTO POPULAR NEUQUINO                                                                         ;CORRIENTE PROVINCIAL Y POPULAR B                                                                    ;0151
3638;MOVIMIENTO POPULAR NEUQUINO                                                                         ;MILITANCIA POPULAR NEUQUINA C                                                                       ;0151
3639;    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   ;LISTA TRICOLOR                                                                                      ;0038
3640;MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD                                                        ;LISTA COMPROMISO JUSTICIA Y DIGNIDAD                                                                ;0060
3641;PARTIDO MOVIMIENTO DE PARTICIPACION CIUDADANA                                                       ;LISTA 25 DE MAYO 1 A                                                                                ;0177
3642;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;CELESTE Y BLANCA K-NESTOR KIRCHNER (A)                                                              ;0501
3643;ALIANZA FRENTE CAMBIEMOS                                                                            ;LISTA UNIDAD POR LA REPUBLICA LISTA A                                                               ;0522
3644;ALIANZA FRENTE POPULAR                                                                              ;PROTAGONISMO Y PARTICIPACION LISTA A                                                                ;0136
3645;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ;LISTA 1 A RENOVAR Y FORTALECER EL FRENTE                                                            ;0137
3646;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ;LISTA UNIDAD - 2 U                                                                                  ;0137
3647;MST - NUEVA IZQUIERDA                                                                               ;LISTA TRICOLOR                                                                                      ;0134
3666;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;237 - SAN SALVADOR NOS UNE                                                                          ;0501
9001;ELECTORES                                                                                           ;                                                                                                    ;9001
9002;VOTANTES                                                                                            ;                                                                                                    ;9002
9003;VOTOS IMPUGNADOS                                                                                    ;                                                                                                    ;9003
9004;VOTOS BLANCOS                                                                                       ;                                                                                                    ;9004
9005;VOTOS NULOS                                                                                         ;                                                                                                    ;9005
9006;VOTOS RECURRIDOS                                                                                    ;                                                                                                    ;9006
