Codigo_Partido;Denominacion;Lista_Interna;Agrupacion
3206;ALIANZA CAMBIEMOS                                                                                   ;JUNTOS POR LA PAMPA                                                                                 ;0135
3208;ALIANZA FRENTE CAMBIEMOS                                                                            ;CAMBIA SANTIAGO LETRA A                                                                             ;0522
3209;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;K CELESTE Y BLANCA NESTOR KIRCHNER                                                                  ;0131
3214;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ;D MOVIMIENTO DE UNIDAD                                                                              ;0138
3215;ALIANZA UNION POR CORDOBA                                                                           ;LISTA MOVIMIENTO DE UNIDAD PERONISTA U                                                              ;0510
3217;PARTIDO POPULAR                                                                                     ;LISTA A MOVIMIENTO SOLIDARIO POPULAR                                                                ;0081
3219;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;NESTOR VIVE, SOMOS EL PROYECTO                                                                      ;0131
3220;UNION CIVICA RADICAL                                                                                ;LISTA 3NR - NUEVO RADICALISMO                                                                       ;0003
3221;ALIANZA FRENTE AMPLIO FORMOSEÑO                                                                     ;NUEVA ALTERNATIVA PARA EL CAMBIO                                                                    ;0520
3223;    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   ;NUEVA IZQUIERDA                                                                                     ;0038
3225;CAUSA POPULAR BRANDSEN                                                                              ;LISTA 1-SOMOS BRANDSEN                                                                              ;0768
3229;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;PERONISMO PAMPEANO 1-A-2                                                                            ;0131
3230;ALIANZA PROGRESISTAS                                                                                ;LETRA C COMPROMISO PROGRESISTA                                                                      ;0132
3231;SOCIALISTA                                                                                          ;LISTA 1 - PROGRESISTAS                                                                              ;0050
3234;ALIANZA FRENTE POPULAR                                                                              ;LISTA A PROTAGONISMO Y PARTICIPACION                                                                ;0136
3235;PROYECTO POPULAR                                                                                    ;PROYECTO AGRARIO Y SOCIAL (PAYS)                                                                    ;0169
3238;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ;RENOVAR Y FORTALECER EL CAMBIO 1 A                                                                  ;0504
3241;DE TRABAJADORES POR EL SOCIALISMO                                                                   ;RENOVAR Y FORTALECER EL FRENTE A                                                                    ;0070
3242;ALIANZA ENCUENTRO POR CORRIENTES                                                                    ;REPUBLICA DE LIBRES E IGUALES                                                                       ;0519
3243;ALIANZA CAMBIEMOS                                                                                   ;LISTA F REPUBLICA DE LIBRES E IGUALES                                                               ;0135
3244;ALIANZA CAMBIEMOS                                                                                   ;LISTA F - REPUBLICA DE LIBRES E IGUALES                                                             ;0502
3245;UNION CELESTE Y BLANCO                                                                              ;ROJO PUNZO A 1                                                                                      ;0065
3246;ALIANZA CAMBIEMOS                                                                                   ;SALTA NOS UNE                                                                                       ;0135
3247;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ;SALTA PARA TODOS O                                                                                  ;0138
3248;ALIANZA PROGRESISTAS                                                                                ;SALTA POR LA IGUALDAD L                                                                             ;0132
3249;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ;SALTA TRABAJA I                                                                                     ;0138
3251;ALIANZA PROGRESISTAS                                                                                ;SEMBRANDO SOCIALISMO S                                                                              ;0132
3253;MOVIMIENTO AL SOCIALISMO                                                                            ;LISTA A SoB                                                                                         ;0013
3255;    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   ;TRICOLOR                                                                                            ;0038
3256;INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR                                                         ;PROTAGONISMO Y PARTICIPACION                                                                        ;0072
3257;DEL OBRERO                                                                                          ;U UNIDAD                                                                                            ;0071
3258;DE LA CULTURA LA EDUCACION Y EL TRABAJO                                                             ;LISTA A - POR TU SALARIO                                                                            ;0076
3259;AUTODETERMINACION Y LIBERTAD                                                                        ;LISTA A - CAMINAMOS PREGUNTANDO                                                                     ;0186
3260;BANDERA VECINAL                                                                                     ;LISTA A - LEALTAD                                                                                   ;0302
3261;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ;LISTA UNIDAD - 2 U                                                                                  ;0137
3262;FUERZA ORG. RENOV. DEMOCRATICA                                                                      ;LISTA A - DIGNIDAD                                                                                  ;0333
3264;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ;LISTA 1A - RENOVAR Y FORTALECER EL FTE                                                              ;0504
3265;ALIANZA FRENTE AMPLIO FORMOSEÑO                                                                     ;UNIDAD FORMOSEÑA                                                                                    ;0520
3266;MOVIMIENTO LIBRES DEL SUR                                                                           ;UNIDAD PROGRESISTA                                                                                  ;0040
3267;ALIANZA PROGRESISTAS                                                                                ;UNIDAD PROGRESISTA A                                                                                ;0132
3268;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ;LISTA  - UNIDAD 2 U                                                                                 ;0504
3270;    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   ;UNIDAD TRICOLOR                                                                                     ;0038
3271;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ;UNIDAD 2 U                                                                                          ;0504
3272;ALIANZA PROGRESISTAS                                                                                ;UNIDAD A                                                                                            ;0506
3274;ALIANZA FRENTE UNIDOS                                                                               ;LETRA P - UNIDOS POR EL CAMBIO                                                                      ;0529
3276;ALIANZA UNION PARA VIVIR MEJOR                                                                      ;UNION PARA EL CAMBIO                                                                                ;0509
3279;ALIANZA UNION PARA VIVIR MEJOR                                                                      ;VAMOS POR SANTA CRUZ                                                                                ;0509
3280;ALIANZA ENCUENTRO POR CORRIENTES                                                                    ;VERDE                                                                                               ;0519
3282;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;FRENTE JUSTICIALISTA PARA LA VICTORIA                                                               ;0501
3283;SOCIALISTA                                                                                          ;50-ALTERNATIVA PROGRESISTA POPULAR                                                                  ;0050
3284;GEN                                                                                                 ;LISTA 69 A                                                                                          ;0069
3285;NUEVA IZQUIERDA                                                                                     ;LISTA 68 UNIDAD                                                                                     ;0068
3286;ALIANZA CAMBIEMOS                                                                                   ;A-UNION POR ENTRE RIOS                                                                              ;0502
3287;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA                                                            ;1 A COLOR ENTRERRIANO                                                                               ;0507
3300;COMUNISTA                                                                                           ;LISTA V - HASTA LA VICTORIA SIEMPRE                                                                 ;0012
3301;MOVIMIENTO AL SOCIALISMO                                                                            ;LISTA SoB A                                                                                         ;0013
3302;ES POSIBLE                                                                                          ;LISTA COMPROMISO FEDERAL A                                                                          ;0063
3303;NUEVA IZQUIERDA                                                                                     ;LISTA UNIDAD A                                                                                      ;0068
3304;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA A - FRENTE PARA LA VICTORIA RIOJANO                                                           ;0501
3305;ALIANZA FRENTE CAMBIEMOS                                                                            ;LISTA A - FUERZA CIVICA RIOJANA                                                                     ;0522
3306;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ;LISTA UNIDAD - U                                                                                    ;0504
3322;INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR                                                         ;LISTA U - PROTAGONISMO Y PARTICIPACION                                                              ;0072
3323;DE LA CULTURA LA EDUCACION Y EL TRABAJO                                                             ;LISTA A - TRABAJANDO PARA CONSTRUIR LA T.D.F.                                                       ;0076
3324;MOVIMIENTO POPULAR FUEGUINO                                                                         ;LISTA A - LA PROVINCIA SOMOS TODOS                                                                  ;0154
3325;SOCIAL PATAGONICO                                                                                   ;LISTA A - COLOR ROJO                                                                                ;0187
3326;FRENTE RENOVADOR AUTENTICO                                                                          ;LISTA W - COLOR AZUL                                                                                ;0202
3327;OBRERO                                                                                              ;LISTA U - UNIDAD                                                                                    ;0161
3350;UNION POPULAR                                                                                       ;503 A UNIDOS POR UNA NUEVA ALTERNATIVA                                                              ;0023
3351;SOCIALISTA                                                                                          ;50 ALTERNATIVA PROGRESISTA POPULAR                                                                  ;0050
3352;NUEVA IZQUIERDA                                                                                     ;68 LISTA UNIDAD                                                                                     ;0068
3353;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;2 FRENTE JUSTICIALISTA PARA LA VICTORIA                                                             ;0501
3354;ALIANZA CAMBIEMOS                                                                                   ;LISTA 502 A UNION POR ENTRE RIOS                                                                    ;0502
3355;ALIANZA CAMBIEMOS                                                                                   ;LISTA 502 C                                                                                         ;0502
3356;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;322 GESTION Y COMPROMISO DEPARTAMENTAL                                                              ;0501
3357;ALIANZA CAMBIEMOS                                                                                   ;LISTA 502 B                                                                                         ;0502
3358;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;127 SE VIENE EL CAMBIO                                                                              ;0501
3359;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;9 COMPROMISO SOCIAL                                                                                 ;0501
3360;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;915 GUALEGUAY PUEDE                                                                                 ;0501
3361;ALIANZA CAMBIEMOS                                                                                   ;LISTA 502 B                                                                                         ;0502
3362;ALIANZA CAMBIEMOS                                                                                   ;LISTA 502 C                                                                                         ;0502
3363;ALIANZA CAMBIEMOS                                                                                   ;LISTA 502 D                                                                                         ;0502
3364;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;269 DESARROLLO Y PRODUCCION                                                                         ;0501
3365;UNION POPULAR                                                                                       ;LISTA 503B UNA ENTRE RIOS                                                                           ;0023
3366;UNION POPULAR                                                                                       ;LISTA 503C UNA ENTRE RIOS                                                                           ;0023
3367;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;75 VIENTOS DE CAMBIO                                                                                ;0501
3368;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;402 SIGAMOS AVANZANDO                                                                               ;0501
3369;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;14 PARA VOLVER A CREER                                                                              ;0501
3370;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;20 JUANA AZURDUY                                                                                    ;0501
3371;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;64 TODOS POR SCIOLI PRESIDENTE                                                                      ;0501
3372;ALIANZA CAMBIEMOS                                                                                   ;LISTA 502 B RADICALES POR FELICIANO                                                                 ;0502
3373;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;197 MOVIMIENTO DEPARTAMENTAL FEDERACION                                                             ;0501
3400;TODOS POR BUENOS AIRES                                                                              ;LISTA A TOBA                                                                                        ;0298
3401;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA CELESTE Y BLANCA K 1                                                                          ;0131
3402;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA CELESTE Y BLANCA K 10                                                                         ;0131
3403;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA CELESTE Y BLANCA K 2                                                                          ;0131
3404;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA CELESTE Y BLANCA K 4                                                                          ;0131
3405;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA CELESTE Y BLANCA K 6                                                                          ;0131
3406;ALIANZA COMPROMISO FEDERAL                                                                          ;LISTA P                                                                                             ;0133
3407;CAMBIEMOS BUENOS AIRES                                                                              ;LISTA 1 A AMARILLO                                                                                  ;0145
3408;ALIANZA FRENTE POPULAR                                                                              ;LISTA B AHORA EL PUEBLO                                                                             ;0136
3409;ALIANZA FRENTE POPULAR                                                                              ;LISTA C CON TERNURA VENCEREMOS                                                                      ;0136
3410;VAMOS                                                                                               ;VAMOS POR BERISSO                                                                                   ;0794
3411;CAMBIEMOS BUENOS AIRES                                                                              ;LISTA 3 A ROJO                                                                                      ;0145
3412;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA 34                                                                                            ;0131
3413;CAMBIEMOS BUENOS AIRES                                                                              ;LISTA 300 A ROJO                                                                                    ;0145
3414;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA CELESTE Y BLANCA K 8                                                                          ;0131
3415;ALIANZA PROGRESISTAS                                                                                ;LISTA SOCIALISMO Y PARTICIPACION SP                                                                 ;0132
3416;ALIANZA COMPROMISO FEDERAL                                                                          ;LISTA M                                                                                             ;0133
3417;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ;LISTA C LINEA RENOVADORA                                                                            ;0138
3418;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ;LISTA D MOVIMIENTO RENOVADOR                                                                        ;0138
3419;CAMBIEMOS BUENOS AIRES                                                                              ;LISTA 4 A FUCSIA                                                                                    ;0145
3420;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ;LISTA B CORRIENTE RENOVADORA                                                                        ;0138
3421;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA 38                                                                                            ;0131
3422;CAMBIEMOS BUENOS AIRES                                                                              ;LISTA 2 A A AMARILLO                                                                                ;0145
3423;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA 36                                                                                            ;0131
3424;CAMBIEMOS BUENOS AIRES                                                                              ;LISTA 301 A ROJO                                                                                    ;0145
3426;NUEVA ALTERNATIVA CARMEÑA                                                                           ;NUEVA ALTERNATIVA CARMEÑA                                                                           ;0484
3427;AGR.MUNICIPAL DE LA INTRANSIGENCIA COLONENSE                                                        ;LISTA UNICA                                                                                         ;0446
3428;JUNTOS POR DORREGO                                                                                  ;LISTA UNICA                                                                                         ;0739
3429;CAMBIEMOS BUENOS AIRES                                                                              ;LISTA 6 A B AMARILLO                                                                                ;0145
3430;COMPROMISO PRINGLES                                                                                 ;COMPROMISO PRINGLES                                                                                 ;0664
3431;INTEGRACION VECINALISTA ROSALEÑA                                                                    ;LISTA BLANCA                                                                                        ;0667
3432;UNA NUEVA OPORTUNIDAD SUARENSE-UNOS                                                                 ;UNA NUEVA OPORTUNIDAD SUARENSE-UNOS                                                                 ;0758
3433;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ;LISTA E FUERZA RENOVADORA                                                                           ;0138
3435;MIRADA AMPLIA REGIONAL                                                                              ;LISTA 11 DE MAYO                                                                                    ;0769
3436;ALIANZA FRENTE MARPLATENSE                                                                          ;LISTA 1 MARPLATENSE                                                                                 ;1806
3437;AGRUPACION VECINAL UNION POR MORON                                                                  ;UNION POR MORON                                                                                     ;0742
3438;SOMOS RODRIGUEZ                                                                                     ;SOMOS RODRIGUEZ 03                                                                                  ;0787
3439;CONSTRUCCION VECINAL PARTICIPATIVA                                                                  ;LISTA UNIDAD                                                                                        ;0673
3440;UNION VECINAL DE ADOLFO GONZALES CHAVES                                                             ;LISTA UNICA                                                                                         ;0672
3441;RENOVACION PARA JUNIN                                                                               ;LISTA 1 TODOS POR JUNIN                                                                             ;0674
3442;UNION DEL PUEBLO LA PLATA                                                                           ;UNION DEL PUEBLO LA PLATA                                                                           ;0754
3443;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ;LINEA F UNION RENOVADORA                                                                            ;0138
3444;ALIANZA COMPROMISO FEDERAL                                                                          ;LISTA E                                                                                             ;0133
3445;ACCION CIUDADANA                                                                                    ;ACCION CIUDADANA                                                                                    ;0656
3446;CRECER                                                                                              ;LISTA 1                                                                                             ;0748
3447;CAMBIEMOS BUENOS AIRES                                                                              ;LISTA 301 A ROJO                                                                                    ;0145
3448;CAMBIEMOS BUENOS AIRES                                                                              ;LISTA 302 A ROJO                                                                                    ;0145
3449;UNIDOS POR NECOCHEA                                                                                 ;UNIDOS POR NECOCHEA                                                                                 ;0799
3450;MOVIMIENTO UNION DEL PARTIDO DE PINAMAR                                                             ;LISTA PRIMERO PINAMAR                                                                               ;0155
3451;ACCION PINAMARENSE-AP                                                                               ;LISTA 1                                                                                             ;0693
3452;VIENTOS DEL SUR-VISUR                                                                               ;LISTA A                                                                                             ;0734
3453;PROPUESTA PINAMAR-PROPIN                                                                            ;BOEING 737                                                                                          ;0737
3454;VECINOS EN ACCION PINAMAR-VENAP                                                                     ;LISTA ACCION BLANCA 1                                                                               ;0774
3455;CAMBIEMOS BUENOS AIRES                                                                              ;RIVADAVIA PRIMERO                                                                                   ;0145
3456;ENCUENTRO POR ROJAS                                                                                 ;ENCUENTRO A                                                                                         ;0703
3457;UNION VECINAL SALLIQUELO                                                                            ;JUNTOS PODEMOS                                                                                      ;0792
3458;CON VOCACION POR SAN ISIDRO                                                                         ;PARA UN SAN ISIDRO MEJOR                                                                            ;0705
3459;UNION VECINALISTA DIGNIDAD PARA TODOS                                                               ;UNION VECINALISTA DIGNIDAD PARA TODOS                                                               ;0600
3460;ACUERDO CIUDADANO X TRENQUE LAUQUEN                                                                 ;ACUERDO CIUDADANO X TRENQUE LAUQUEN                                                                 ;0789
3461;MOVIMIENTO VECINAL                                                                                  ;LISTA DE ACCION COMUNAL                                                                             ;0194
3462;ACCION POR VILLARINO                                                                                ;LISTA UNICA A                                                                                       ;0697
3463;ALIANZA PROGRESISTAS                                                                                ;LISTA UNEN POR VILLARINO V                                                                          ;0132
3464;NUEVO ZARATE                                                                                        ;LISTA UNICA                                                                                         ;0612
3465;UNIDAD PACEÑA                                                                                       ;LISTA 1                                                                                             ;0782
3466;C.UNIDAD SOCIAL Y POL. 6 DE DICIEMBRE                                                               ;LISTA UNIDAD                                                                                        ;0670
3471;TODOS VECINOS                                                                                       ;LISTA 1 A                                                                                           ;0750
3474;AGR.MUNICIPAL DE INT.PACEÑA                                                                         ;SE PUEDE                                                                                            ;0777
3477;ALIANZA PROGRESISTAS                                                                                ;AGRUPACION RENOVACION SAN ISIDRO R                                                                  ;0132
3500;ALIANZA FRENTE TERCERA POSICION                                                                     ;LISTA 501 A UNIDOS POR UNA NUEVA ALTERNATIVA                                                        ;0528
3501;ALIANZA FRENTE AMPLIO PODEMOS                                                                       ;LISTA 503 A 20 DE JUNIO                                                                             ;0521
3502;ALIANZA FRENTE CIVICO Y SOCIAL                                                                      ;LISTA A CATAMARCA PUEDE MAS Y MEJOR                                                                 ;0524
3503;ALIANZA FRENTE CIVICO Y SOCIAL                                                                      ;LISTA B UNIDAD Y CAMBIO                                                                             ;0524
3504;    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   ;UNIDAD-A                                                                                            ;0038
3505;OBRERO                                                                                              ;LISTA 1 A UNIDAD ROJO                                                                               ;0161
3506;ALIANZA FRENTE TERCERA POSICION                                                                     ;LISTA A                                                                                             ;0528
3507;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA A                                                                                             ;0501
3508;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA B                                                                                             ;0501
3509;ALIANZA FRENTE CIVICO Y SOCIAL                                                                      ;LISTA A                                                                                             ;0524
3510;ALIANZA FRENTE CIVICO Y SOCIAL                                                                      ;LISTA B                                                                                             ;0524
3511;    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   ;MST                                                                                                 ;0038
3512;MOVIMIENTO LIBRES DEL SUR                                                                           ;MOVIMIENTO LIBRES DEL SUR                                                                           ;0040
3513;GEN                                                                                                 ;GEN LISTA A                                                                                         ;0069
3514;OBRERO                                                                                              ;PARTIDO OBRERO                                                                                      ;0161
3515;INSTRUMENTO ELECTORAL                                                                               ;INSTRUMENTO ELECTORAL                                                                               ;0203
3516;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA C                                                                                             ;0501
3517;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA D                                                                                             ;0501
3518;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA E                                                                                             ;0501
3519;ALIANZA FRENTE CIVICO Y SOCIAL                                                                      ;LISTA C                                                                                             ;0524
3520;ALIANZA FRENTE TERCERA POSICION                                                                     ;LISTA B                                                                                             ;0528
3521;ALIANZA FRENTE TERCERA POSICION                                                                     ;LISTA C                                                                                             ;0528
3522;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA F                                                                                             ;0501
3523;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA G                                                                                             ;0501
3530;ALIANZA FRENTE PARA LA VICTORIA                                                                     ; CELESTE Y BLANCA K NESTOR KIRCHNER                                                                 ;0501
3531;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;LISTA A MUCHOS POR CHUBUT                                                                           ;0501
3532;MOVIMIENTO POLO SOCIAL LA TERCERA POSICION DE LA GENTE                                              ;LISTA IGUALDAD Y DECENCIA                                                                           ;0152
3533;MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD                                                        ;LISTA A JUSTICIA Y DIGNIDAD                                                                         ;0060
3534;    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   ;LISTA TRICOLOR                                                                                      ;0038
3535;ALIANZA CAMBIEMOS CHUBUT                                                                            ;LISTA A EL VERDADERO CAMBIO                                                                         ;0530
3536;ALIANZA CAMBIEMOS CHUBUT                                                                            ;LISTA I ACTITUD                                                                                     ;0530
3537;PARTIDO DEL TRABAJO Y DEL PUEBLO                                                                    ;LISTA A UNIDAD                                                                                      ;0074
