vars;in_file;new_name
per_rela_jefe_Cónyuge_o_pareja;0;
per_rela_jefe_Hijo(a)_/_Hijastro(a);0;
per_rela_jefe_Yerno_/_Nuera;0;
per_rela_jefe_Nieto(a);1;per_nietos_hogar
per_rela_jefe_Padre_/_Madre_/_Suegro(a);0;
per_rela_jefe_Otros_familiares;0;
per_rela_jefe_Otros_no_familiares;0;
per_rela_jefe_Servicio_doméstico_y_sus_familiares;1;per_servicio_domestico_interno
per_sexo_Varón;1;per_hombre
per_sexo_Mujer;1;per_mujer
per_inmig_Argentina;0;
per_inmig_Otro_país;1;per_inmigrante
per_leer_Sí;0;
per_leer_No;1;per_sabe_leer
per_escuela_Asiste;0;
per_escuela_Asistió;0;
per_escuela_Nunca_asistió;1;per_nunca_asiste
per_educa_Inicial_(jardín,_preescolar);0;
per_educa_Primario;1;per_estud_primario
per_educa_EGB;1;per_estud_egb
per_educa_Secundario;1;per_estud_secundara
per_educa_Polimodal;1;per_estud_polimodal
per_educa_Superior_no_universitario;1;per_estud_superior
per_educa_Universitario;1;per_estud_universitario
per_educa_Post_universitario;1;per_estud_postuniversitario
per_educa_Educación_especial;1;per_estud_especial
per_educa_completo_Sí;1;per_estud_completos
per_educa_completo_No;0;
per_compu_Sí;1;per_compu
per_compu_No;0;
paso19_blanco;1;paso19_blanco
paso19_validos;1;paso19_validos
paso19_cand_FdT;1;paso19_cand_FdT
paso19_cand_JxC;1;paso19_cand_JxC
paso19_cand_Otros;1;paso19_cand_Otros
pres15_blanco;1;pres15_blanco
pres15_validos;1;pres15_validos
pres15_cand_Cam;1;pres15_cand_Cam
pres15_cand_FPV;1;pres15_cand_FPV
pres15_cand_Otros;1;pres15_cand_Otros
pres15_cand_UNA;1;pres15_cand_UNA
paso15_blanco;1;paso15_blanco
paso15_validos;1;paso15_validos
paso15_cand_Cam;1;paso15_cand_Cam
paso15_cand_FPV;1;paso15_cand_FPV
paso15_cand_Otros;1;paso15_cand_Otros
paso15_cand_UNA;1;paso15_cand_UNA
