id_circuito_elec;province;vi_calidad_insuficiente;vi_serv_basicos_insuficiente;vi_nho_2mas;vi_urbano;vi_rural_agrupado;vi_rural_disperso;ho_necesidad_basica_insatisfecha;ho_suelo_cemento;ho_suelo_ladrillo;ho_techo_chapa_metal;ho_techo_chapa_pastico;ho_techo_chapa_carton;ho_techo_chapa_barro;ho_agua_fuera_vivienda;ho_agua_fuera_terreno;ho_sin_aseo;ho_refri_carbon;ho_compu;ho_celu;ho_fijo;ho_fhacinamiento;ho_3omas_por_cuarto;ho_prop_vivienda_terreno;ho_prop_vivienda;ho_inquilino;ho_npers_1;ho_npers_2;ho_npers_3;ho_npers_4;ho_npers_5;ho_npers_6;ho_npers_7;ho_npers_8mas;per_ocupado;per_desocupado;per_inactivo;per_edad_0_14;per_edad_15_65;per_edad_65mas;per_edad_0_4;per_edad_5_9;per_edad_10_14;per_edad_14_19;per_edad_20_24;per_edad_25_29;per_edad_30_34;per_edad_35_39;per_edad_40_44;per_edad_45_49;per_edad_50_54;per_edad_55_59;per_edad_60_64;per_edad_65_69;per_edad_70_74;per_edad_75_79;per_edad_80_84;per_edad_85_89;per_edad_90_94;per_edad_95mas;per_nietos_hogar;per_servicio_domestico_interno;per_hombre;per_mujer;per_inmigrante;per_sabe_leer;per_nunca_asiste;per_estud_primario;per_estud_egb;per_estud_secundara;per_estud_polimodal;per_estud_superior;per_estud_universitario;per_estud_postuniversitario;per_estud_especial;per_estud_completos;per_compu;paso19_blanco;paso19_validos;paso19_cand_FdT;paso19_cand_JxC;paso19_cand_Otros;pres19_blanco;pres19_validos;pres19_cand_FdT;pres19_cand_JxC;pres19_cand_Otros;pres15_blanco;pres15_validos;pres15_cand_Cam;pres15_cand_FPV;pres15_cand_Otros;pres15_cand_UNA;paso15_blanco;paso15_validos;paso15_cand_Cam;paso15_cand_FPV;paso15_cand_Otros;paso15_cand_UNA
02121000983;Buenos Aires;13,8033175; 42,5947867; 1,8957346; 90,9048289;0,000000e+00;9,095171e+00; 4,2898551;18,2028986; 1,855072464; 88,52173913; 1,33333333;0,231884058;0,000000000;10,60869565; 0,869565217; 1,04347826; 0,637681159; 95,76812;36,985507; 88,40580;38,3768116; 2,43478261;72,231884; 2,49275362;14,7246377;25,043478;25,449275;20,115942;15,652174; 7,478261; 3,8840580;1,21739130;1,21739130;46,87564;1,2579913;28,995669;24,046195;60,79604;15,157764;0; 7,073623; 8,249124; 8,702825; 8,290369; 6,537430; 6,413694; 6,619922; 5,774386; 6,248711; 5,609404; 4,949474; 5,485667; 4,866983; 4,0833161; 3,8977109;3,0109301;2,33037740;1,42297381;0,268096515;3,2377810;0,082491235;48,64921;51,35079; 0,68055269; 5,733141; 1,69107032;49,515364; 5,17632502;21,447721;3,48525469; 6,1662198; 3,5265003;0,16498247;0,32996494;46,81378;45,28769; 128;  3591;41,353383; 44,890003;10,192147;  56;  3754;41,422483; 50,053277; 7,032499;  83;  3550; 39,352113;29,492958; 2,2816901;26,535211; 214;  2993; 36,652188;31,540261; 4,8112262;19,846308
02121000984;Buenos Aires;16,1721068; 71,5133531; 1,1869436;  0,0000000;8,047983e+01;1,952017e+01; 4,9780381;19,6193265; 1,903367496; 86,53001464; 2,48901903;0,439238653;0,146412884; 9,66325037; 0,878477306; 2,78184480; 0,585651537; 97,95022;35,285505; 86,82284;51,9765739; 1,02489019;71,742313; 1,02489019;12,2986823;22,693997;28,989751;18,301611;17,130307; 7,467057; 3,8067350;1,31771596;0,14641288;46,75186;2,0766773;31,309904;20,926518;59,42492;19,648562;0; 6,762513; 7,667732; 6,496273; 5,431310; 6,443024; 6,070288; 7,507987; 6,283280; 4,632588; 5,218317; 5,111821; 6,709265; 6,070288; 6,4962726; 5,1118211;3,5676251;2,71565495;1,22470714;0,319488818;2,1831736;0,000000000;50,53248;49,46752; 1,01171459; 5,378062; 1,27795527;51,597444; 2,28966986;22,470714;2,76890309; 7,4014909; 3,0351438;0,05324814;0,42598509;52,60916;42,33227;  49;  1347;30,660728; 53,303638;12,397921;  22;  1414;30,198020; 60,678925; 7,567185;  27;  1331; 49,436514;22,013524; 3,7565740;22,764838; 108;  1163; 54,858126;15,993121; 4,4711952;15,391230
02121000985;Buenos Aires; 8,0645161; 80,3225806; 0,0000000;  0,0000000;4,971537e+01;5,047438e+01; 3,5483871;28,0645161; 1,935483871; 83,87096774; 3,22580645;0,000000000;0,322580645; 5,16129032; 0,645161290; 0,96774194; 0,967741935; 96,45161;28,387097; 91,29032;29,0322581; 1,29032258;58,064516; 0,32258065; 8,0645161;19,032258;28,064516;19,677419;16,774194; 9,032258; 4,5161290;2,58064516;0,32258065;46,87500;0,9698276;29,633621;22,844828;62,60776;14,547414;0; 7,327586; 7,219828; 8,189655;10,237069; 5,064655; 6,250000; 6,465517; 5,280172; 7,004310; 4,418103; 6,034483; 5,711207; 6,034483; 5,9267241; 2,8017241;2,8017241;1,61637931;0,96982759;0,323275862;3,0172414;0,215517241;52,58621;47,41379; 0,96982759; 5,172414; 1,83189655;54,633621; 3,23275862;22,952586;3,98706897; 1,7241379; 2,5862069;0,10775862;0,32327586;45,58190;34,37500;  17;   319;36,677116; 49,529781; 8,463950;   6;   346;39,884393; 50,000000; 8,381503;  21;   375; 37,866667;29,333333; 3,7333333;23,466667;  31;   331; 46,525680;28,700906; 2,1148036;13,293051
02121000986;Buenos Aires;13,0434783;100,0000000; 0,0000000;  0,0000000;0,000000e+00;1,000000e+02; 2,5862069;18,9655172; 0,862068966; 77,58620690; 2,58620690;0,862068966;1,724137931; 8,62068966; 0,862068966; 0,86206897; 5,172413793; 94,82759;21,551724; 98,27586;12,9310345; 0,86206897;31,034483; 1,72413793; 0,8620690;30,172414;20,689655;19,827586;17,241379; 7,758621; 2,5862069;0,86206897;0,00000000;51,48515;0,6600660;25,082508;24,422442;66,66667; 8,910891;0;10,231023; 5,610561; 8,580858; 5,940594; 7,920792; 4,950495; 8,910891; 7,920792; 7,260726; 6,600660; 5,610561; 6,270627; 4,950495; 2,9702970; 1,9801980;2,3102310;0,33003300;0,33003300;0,330033003;0,6600660;0,330033003;58,74587;41,58416; 0,66006601; 5,610561; 1,98019802;54,125413; 1,98019802;18,811881;2,31023102; 3,6303630; 5,2805281;0,00000000;0,00000000;50,49505;33,99340;   5;    49;51,020408; 34,693878; 4,081633;   4;    56;46,428571; 42,857143; 3,571429;   5;    72; 37,500000;30,555556; 1,3888889;23,611111;   1;    54; 38,888889;38,888889; 9,2592593;11,111111
02121000987;Buenos Aires;12,7906977;100,0000000; 2,3255814;  0,0000000;0,000000e+00;1,000000e+02; 7,9545455;14,7727273; 1,136363636; 81,81818182; 3,40909091;0,000000000;0,000000000; 7,95454545; 1,136363636; 5,68181818; 4,545454545; 95,45455;15,909091; 95,45455;13,6363636; 1,13636364;19,318182; 0,00000000; 2,2727273;22,727273;35,227273;14,772727;17,045455; 3,409091; 4,5454545;3,40909091;0,00000000;56,90377;1,2552301;24,686192;18,828452;70,71130;10,878661;0; 2,928870; 8,786611; 7,112971; 7,531381; 5,020921; 7,112971; 5,439331; 7,531381; 7,531381; 7,949791; 8,786611; 7,949791; 6,276151; 5,4393305; 2,9288703;1,6736402;0,41841004;0,00000000;0,000000000;0,8368201;0,000000000;59,41423;40,58577; 3,34728033; 4,602510; 2,09205021;65,690377; 1,25523013;16,736402;3,76569038; 2,9288703; 3,3472803;0,00000000;0,00000000;48,11715;25,94142;   0;    36;13,888889; 75,000000;11,111111;   0;    42;19,047619; 76,190476; 4,761905;   6;    65; 58,461538;18,461538; 1,5384615;12,307692;   1;    36; 63,888889;13,888889; 0,0000000;19,444444
02121000988;Buenos Aires;12,8851541; 76,1904762; 0,8403361;  0,0000000;4,979757e+01;5,020243e+01; 4,1666667;27,2222222; 1,944444444; 89,44444444; 3,61111111;0,555555556;0,000000000; 9,16666667; 0,555555556; 0,83333333; 3,333333333; 95,83333;29,444444; 89,72222;32,7777778; 1,38888889;57,222222; 0,55555556; 5,0000000;20,555556;28,611111;20,277778;16,944444; 6,111111; 4,7222222;1,94444444;0,83333333;43,99225;1,0658915;32,848837;23,546512;61,91860;14,534884;0; 7,751938; 9,108527; 6,686047; 9,108527; 5,426357; 6,395349; 7,364341; 7,364341; 4,941860; 5,813953; 4,457364; 4,941860; 6,201550; 4,7480620; 3,8759690;2,7131783;1,84108527;1,06589147;0,290697674;2,7131783;0,000000000;51,64729;48,25581; 1,06589147; 6,976744; 2,90697674;50,872093; 3,87596899;19,767442;4,36046512; 5,4263566; 2,7131783;0,00000000;0,38759690;43,79845;34,98062;  18;   595;35,294118; 55,630252; 6,050420;  13;   638;34,796238; 59,247649; 3,918495;  34;   689; 40,928882;24,092888; 2,3222061;27,721335;  40;   607; 41,680395;24,876442; 3,6243822;23,228995
02121000989;Buenos Aires;11,4864865; 83,7837838; 0,6756757;  0,0000000;5,511111e+01;4,533333e+01; 2,0134228;28,8590604; 1,342281879; 91,27516779; 2,01342282;0,000000000;0,000000000; 8,05369128; 0,000000000; 0,00000000; 2,684563758; 96,64430;28,187919; 89,93289;33,5570470; 1,34228188;59,060403; 0,00000000; 2,6845638;29,530201;24,161074;16,107383;14,093960;10,067114; 4,0268456;1,34228188;0,67114094;44,71744;0,7371007;31,695332;24,324324;59,21376;16,461916;0; 8,599509; 9,090909; 6,633907; 6,633907; 6,633907; 4,914005; 7,371007; 7,371007; 6,142506; 5,405405; 4,914005; 4,914005; 4,914005; 5,1597052; 2,4570025;3,9312039;2,70270270;1,22850123;0,737100737;3,4398034;0,000000000;50,61425;49,38575; 0,73710074; 7,862408; 2,94840295;52,825553; 2,70270270;17,690418;2,21130221; 5,8968059; 4,6683047;0,24570025;0,24570025;40,54054;36,60934;  14;   233;47,210300; 41,201717; 5,579399;   8;   240;47,916667; 45,000000; 3,750000;  14;   246; 30,894309;33,739837; 3,2520325;26,422764;  17;   212; 32,075472;30,660377; 8,0188679;21,226415
02121000990;Buenos Aires;19,2857143; 86,4285714; 0,0000000;  0,0000000;6,200873e+01;3,799127e+01; 3,5714286;20,0000000; 2,857142857; 88,57142857; 5,71428571;0,000000000;0,000000000;13,57142857; 0,000000000; 0,71428571; 1,428571429; 97,14286;24,285714; 77,85714;51,4285714; 2,14285714;60,714286; 0,71428571; 7,8571429;20,714286;29,285714;20,714286;17,857143; 7,857143; 2,1428571;0,71428571;0,71428571;52,84974;1,2953368;24,093264;22,797927;61,65803;15,544041;0; 8,031088; 9,067358; 5,699482; 6,217617; 7,772021; 5,699482; 6,476684; 8,290155; 5,958549; 5,440415; 5,440415; 5,440415; 4,663212; 4,6632124; 3,3678756;3,3678756;2,84974093;1,03626943;0,259067358;1,0362694;0,000000000;53,62694;46,37306; 0,25906736; 6,476684; 3,10880829;56,994819; 3,88601036;15,284974;3,36787565; 2,5906736; 1,8134715;0,51813472;0,25906736;45,59585;34,19689;  10;   241;27,385892; 63,485477; 4,979253;   8;   255;26,666667; 62,745098; 7,450980;   6;   287; 48,432056;12,195122; 1,3937282;35,888502;  11;   197; 54,314721;14,720812; 3,0456853;22,335025
02121000991;Buenos Aires;11,0810811; 63,5135135; 0,5405405;  0,0000000;7,773360e+01;2,226640e+01; 5,1075269;20,6989247; 1,075268817; 76,07526882; 4,83870968;0,268817204;0,000000000; 7,79569892; 0,537634409; 1,61290323; 1,075268817; 94,35484;37,634409; 85,48387;57,5268817; 1,34408602;62,634409; 0,53763441;12,6344086;21,505376;29,838710;17,741935;13,440860; 9,946237; 3,4946237;2,15053763;1,61290323;46,80851;0,8325624;27,567068;26,086957;59,75948;14,153562;0; 7,493062; 9,898242; 8,603145; 9,250694; 6,105458; 7,308048; 5,827937; 6,012951; 5,087882; 5,272895; 4,255319; 4,717854; 5,920444; 5,2728955; 3,6077706;2,1276596;2,03515264;0,37002775;0,555041628;2,5901943;0,092506938;50,97132;49,02868; 0,83256244; 7,123034; 2,68270120;44,310823; 6,66049954;21,369103;5,08788159; 5,9204440; 3,6077706;0,37002775;0,09250694;39,96300;41,99815;  26;   485;43,917526; 45,979381; 4,742268;   7;   530;47,358491; 46,037736; 5,283019;  14;   517; 36,557060;37,330754; 1,9342360;21,470019;  16;   437; 33,180778;40,503432; 3,8901602;18,764302
02122000993;Buenos Aires; 0,4374089;  0,2499479; 2,5203083;100,0000000;0,000000e+00;0,000000e+00; 0,4851425; 0,7883566; 0,010107136;  8,08570851; 0,42449970;0,020214271;0,010107136; 0,33353548; 0,020214271; 0,06064281; 0,000000000; 99,74732;74,873661; 86,70912;94,4107540; 0,13139276;74,327875; 2,10228421;18,6072367;22,730948;31,028906;19,840307;17,374166; 6,377603; 2,1022842;0,31332120;0,24257126;55,69509;2,3398733;26,189022;16,127185;64,58127;19,291549;0; 5,382090; 5,492786; 5,252309; 5,672189; 6,550118; 6,363081; 7,202840; 7,408963; 6,645545; 6,882205; 6,282922; 5,985190; 5,584396; 4,9583938; 4,0193908;4,0461104;3,48118177;1,98870143;0,641270326;1,4581266;0,248110543;45,99206;54,00794; 6,44323994; 3,412474; 0,53820902;15,298878; 0,87792961;28,109016;2,38186121;13,2605542;29,7198259;2,78647225;0,25956180;53,73311;75,47904; 417; 18488;21,581566; 56,620511;19,542406; 204; 19085;23,044276; 65,093005;10,793817; 185; 20740; 64,836066;13,514947; 9,1513983;11,605593; 367; 20258; 56,688716;13,402113;15,7666107;12,330931
